created at,beneficiary,emitter,amount,status
2017-07-15 00:37:52 UTC,Taulia,Yoox Net-a-Porter Group,147021,healthy
2017-04-21 20:19:07 UTC,Honest Buildings,Talkspace,66835,suspicious
2017-08-01 15:57:03 UTC,The Walt Disney Company,FireEye,8946,healthy
2018-02-04 04:55:16 UTC,Chef,Withings,52171,suspicious
2018-01-10 01:24:38 UTC,SoundCloud,IFTTT,198572,healthy
2017-06-07 04:02:02 UTC,Vivino,Zwift,137070,healthy
2017-12-07 03:01:23 UTC,Avvo,Nazara Technologies,1888,suspicious
2017-09-08 00:23:07 UTC,3D Systems,Seeking Alpha,158425,suspicious
2017-07-20 04:34:43 UTC,Acorns,Split Software,147653,suspicious
2017-04-30 06:01:55 UTC,Kuaishou,Apptio,178976,suspicious
2018-03-16 02:36:52 UTC,Fair,KKR & Co. (Kohlberg Kravis Roberts & Co.),159443,healthy
2017-10-29 11:55:59 UTC,Kuaishou,Udaan,84983,suspicious
2017-04-09 14:36:05 UTC,Alibaba,Gaana,188434,suspicious
2017-05-26 16:05:14 UTC,Meituan-Dianping,Arctic Wolf Networks,69723,healthy
2017-08-14 10:21:33 UTC,JW Player,HubHaus,103676,suspicious
2017-04-25 15:42:23 UTC,HCL Technologies,Sun Basket,11671,healthy
2017-10-16 00:08:43 UTC,Jana,Mayo Clinic,114368,suspicious
2017-06-26 12:23:55 UTC,Cloudflare,Urban Ladder,105027,suspicious
2017-07-31 11:16:00 UTC,BitPesa,Penny,150359,healthy
2017-09-02 16:05:16 UTC,Moderna Therapeutics,Future Mobility,150227,suspicious
2018-01-23 14:26:10 UTC,IDEAYA Biosciences,Taulia,57690,healthy
2017-04-15 06:27:58 UTC,Jive Communications,Signal Foundation,75439,suspicious
2017-03-23 06:31:52 UTC,Penny,Drover,33635,suspicious
2017-11-03 13:12:35 UTC,Bluecore,iQiyi,162117,suspicious
2017-02-26 22:50:01 UTC,Taulia,Voicera,172818,suspicious
2017-07-18 04:29:43 UTC,Toutiao,Zum,129401,healthy
2017-04-24 08:48:01 UTC,WalkMe,WuXi AppTec,36030,healthy
2017-12-05 20:39:20 UTC,Family Pet,Magic,99527,suspicious
2017-06-19 07:07:47 UTC,Vettery,Distil Networks,133507,suspicious
2017-12-14 18:56:19 UTC,Voicera,Personal Capital,193240,suspicious
2017-06-03 06:38:08 UTC,Glooko,TechCrunch,140736,healthy
2017-12-27 15:16:51 UTC,Jiffy,Blue Apron,88481,suspicious
2017-03-19 00:46:11 UTC,Fair,Juicero,31608,healthy
2017-03-18 18:00:48 UTC,Leap Motion,Ledger,128288,healthy
2018-02-12 15:20:29 UTC,iQiyi,Shopify,18160,healthy
2018-01-11 22:19:49 UTC,Gfycat,"DailyPay, Inc.",10858,healthy
2017-07-27 04:56:12 UTC,Wochit,Curatio Healthcare,81325,suspicious
2017-09-18 19:56:39 UTC,Via,Health Catalyst,75807,suspicious
2018-02-02 04:01:51 UTC,uBiome,GeoSpock Ltd.,59437,suspicious
2017-04-27 03:37:23 UTC,Sea Limited,TechCrunch,6447,healthy
2017-06-19 07:21:06 UTC,3D Systems,Zum,46773,healthy
2017-02-21 20:20:29 UTC,Domo,Rivigo,170913,suspicious
2017-02-05 06:21:06 UTC,Honest Buildings,"Nauto, Inc.",33841,healthy
2017-09-14 12:03:55 UTC,Drover,Puls,58969,healthy
2018-03-22 03:46:14 UTC,Chef,Acorns,179139,healthy
2018-02-27 05:38:19 UTC,Yogome,Atom Bank,105388,suspicious
2017-11-17 20:57:23 UTC,KnowBe4,Shipt,45051,suspicious
2017-03-01 21:59:26 UTC,RedLock,AppNexus,41451,suspicious
2017-12-31 05:49:42 UTC,Mayo Clinic,Drive.ai,53294,suspicious
2017-08-04 11:25:20 UTC,Cognizant Technology Solutions,Ancient Nutrition,96896,healthy
2017-07-21 13:45:49 UTC,Senic,ShipHawk,118423,suspicious
2017-05-23 15:49:14 UTC,Humacyte,17zuoye,113062,suspicious
2017-05-29 13:03:55 UTC,BitPesa,Acorns,141097,healthy
2018-02-10 09:59:25 UTC,zulily,Leap Motion,110975,suspicious
2017-07-14 13:51:14 UTC,SentinelOne,GeoSpock Ltd.,167481,healthy
2017-08-20 09:06:08 UTC,Domo,Yoox Net-a-Porter Group,168725,healthy
2017-09-01 15:10:09 UTC,Airtasker,TurnKey Vacation Rentals,26575,suspicious
2017-06-12 16:26:21 UTC,Honest Buildings,Doodhwala,19202,suspicious
2018-03-15 07:27:05 UTC,PharmEasy,Cloudflare,127766,healthy
2017-03-26 17:20:19 UTC,FanDuel,BigID,105437,suspicious
2017-09-08 01:14:59 UTC,Drover,Signal Foundation,47813,healthy
2017-07-09 03:09:23 UTC,Zwift,Meituan-Dianping,189479,healthy
2017-02-06 15:06:08 UTC,Cloudera,Dialpad,49599,healthy
2017-10-29 17:44:53 UTC,Bench,Updater,52638,healthy
2017-06-06 03:58:09 UTC,Personal Capital,Dwolla,15241,suspicious
2017-11-13 12:27:44 UTC,Updater,HomeAway,50250,healthy
2017-02-16 12:20:50 UTC,Pepperfry.com,SoundCloud,46658,healthy
2017-07-08 08:42:17 UTC,Signal,Osmo,5009,healthy
2017-10-22 17:03:14 UTC,First Solar,Moovit,83306,healthy
2018-02-28 00:59:51 UTC,Sea Limited,Youku,92600,suspicious
2017-09-17 21:21:10 UTC,Moderna Therapeutics,Dialpad,146059,healthy
2017-04-04 11:26:34 UTC,EVERFI,Icertis,61614,healthy
2017-11-16 14:39:46 UTC,TechCrunch,Namely,128458,healthy
2017-07-23 14:46:54 UTC,Drover,Blue Apron,110677,healthy
2017-07-09 13:48:16 UTC,Urban Ladder,PhonePe,167904,healthy
2017-11-14 16:02:35 UTC,Future Mobility,Quikr,36850,healthy
2017-06-14 02:24:01 UTC,"Procore Technologies, Inc.",SoundCloud,62289,healthy
2018-01-18 04:21:51 UTC,Tinyclues,comScore,156153,suspicious
2017-12-12 06:03:13 UTC,WalkMe,Coinbase,177793,healthy
2017-05-26 05:59:32 UTC,Hyperloop Transportation Technologies,Namely,128340,suspicious
2017-02-01 23:46:53 UTC,Influenster,Storj Labs,169655,suspicious
2018-01-20 05:00:54 UTC,Luminoso,MedGenome Inc.,260,suspicious
2017-08-07 13:42:20 UTC,Tinyclues,Cloudera,33903,suspicious
2017-04-14 20:31:59 UTC,Shopify,DecaWave,191213,suspicious
2017-07-12 17:43:52 UTC,Jana,Grand Rounds,69281,healthy
2017-07-10 07:12:17 UTC,Mezi,Airtasker,5537,suspicious
2017-04-19 15:57:32 UTC,Avast,MedGenome Inc.,142957,healthy
2018-03-20 15:48:51 UTC,Hotelogix,Nazara Technologies,47747,healthy
2018-01-04 00:02:39 UTC,SoundCloud,Pepperfry.com,61645,healthy
2017-12-19 23:53:32 UTC,Wochit,KIXEYE,3228,suspicious
2017-04-10 14:59:36 UTC,Illumio,uBiome,29341,healthy
2017-06-16 04:41:55 UTC,Quikr,Penny,186928,suspicious
2017-12-02 07:04:36 UTC,Future Mobility,Stitch Fix,72047,healthy
2017-07-14 01:59:24 UTC,Farfetch,Foundation Medicine,192839,suspicious
2017-03-23 11:51:18 UTC,bitFlyer,KnowBe4,66284,suspicious
2017-09-30 09:48:50 UTC,Blockchain,Cloudera,161924,suspicious
2017-02-05 03:13:56 UTC,Cloudflare,Family Pet,174787,healthy
2017-08-11 12:49:56 UTC,Cloudera,WuXi AppTec,151453,suspicious
2017-06-15 17:23:48 UTC,Distil Networks,Domo,133064,suspicious
2017-10-05 08:22:23 UTC,AppNexus,Signal,97547,suspicious
2018-01-21 08:07:04 UTC,Bench,Kuaishou,36219,suspicious
2017-09-16 11:24:49 UTC,PhonePe,Talkspace,105574,suspicious
2017-09-12 11:28:22 UTC,Kobalt,DataVisor,12466,healthy
2017-08-22 12:07:41 UTC,BigID,Voicera,61220,suspicious
2017-12-02 03:34:03 UTC,JW Player,RingCentral,149080,suspicious
2018-02-07 07:48:28 UTC,Ancient Nutrition,Domo,110631,suspicious
2017-09-27 11:07:13 UTC,Kiddom,Shipt,189966,healthy
2018-02-27 18:12:24 UTC,Pepperfry.com,Zwift,54335,healthy
2017-09-08 13:54:42 UTC,Cognizant Technology Solutions,17zuoye,138908,healthy
2018-01-09 10:50:07 UTC,ENGAGE,KKR & Co. (Kohlberg Kravis Roberts & Co.),182147,suspicious
2018-01-05 05:50:13 UTC,Bitt,Alibaba,194720,suspicious
2017-12-01 09:13:07 UTC,Namely,Future Mobility,68006,healthy
2017-05-19 17:03:39 UTC,Qihoo 360 Technology,Jive Communications,173585,healthy
2017-05-06 06:34:17 UTC,Bancor,Power Ledger,148737,suspicious
2017-05-21 17:39:10 UTC,KnowBe4,Drive.ai,98685,healthy
2017-11-23 16:30:56 UTC,ServiceNow,Ancient Nutrition,98393,suspicious
2017-02-21 10:49:31 UTC,Shipt,Signal,170562,suspicious
2017-03-26 07:58:59 UTC,Qihoo 360 Technology,PharmEasy,180276,suspicious
2017-12-18 08:56:24 UTC,Icertis,Qihoo 360 Technology,116789,healthy
2018-03-15 06:03:41 UTC,Kahoot!,First Solar,83563,suspicious
2017-03-29 12:27:30 UTC,Osmo,Relayr,194334,healthy
2017-12-17 13:18:49 UTC,Alibaba,Upskill (formerly APX Labs),47044,healthy
2017-03-23 18:02:35 UTC,Deliveroo,Farfetch,188607,healthy
2017-09-19 04:49:41 UTC,Via,IHS Markit ,21551,healthy
2017-06-30 14:01:00 UTC,Payoneer,Blockchain,75124,suspicious
2017-05-12 14:20:12 UTC,Puls,News Corp.,174072,suspicious
2018-01-31 23:17:10 UTC,Shopify,Signal,40379,healthy
2017-04-25 20:11:56 UTC,Nazara Technologies,Yelp,145443,healthy
2017-12-05 00:39:23 UTC,Zwift,Sun Basket,176412,suspicious
2017-12-03 07:18:57 UTC,Chef,MedGenome Inc.,16828,suspicious
2018-03-01 03:14:07 UTC,Qihoo 360 Technology,Signal Foundation,113491,healthy
2017-04-24 20:56:57 UTC,comScore,HCL Technologies,187047,suspicious
2017-10-27 08:22:57 UTC,Avast,Overstock.com,31718,suspicious
2018-03-20 22:46:42 UTC,Blue Apron,Farfetch,128951,healthy
2017-07-01 12:02:57 UTC,TechCrunch,KIXEYE,37416,suspicious
2017-12-13 13:49:01 UTC,Vectra Networks,FirstEnergy Corp.,136615,suspicious
2017-09-15 10:38:47 UTC,Mayo Clinic,Acorns,15635,healthy
2017-12-17 14:11:45 UTC,FireEye,Tesco,71935,healthy
2017-04-12 16:55:26 UTC,Yogome,Split Software,132130,healthy
2017-07-28 15:46:27 UTC,Signal,PhonePe,148038,suspicious
2017-03-25 15:56:54 UTC,Blue Apron,KIXEYE,25800,healthy
2017-09-09 05:35:30 UTC,Icertis,Verizon Communications,58569,healthy
2018-02-21 11:53:39 UTC,IDEAYA Biosciences,Shopify,199448,suspicious
2017-09-08 05:39:14 UTC,Atom Bank,Zum,13226,suspicious
2018-01-23 08:27:09 UTC,Influenster,Payfone,156526,suspicious
2017-09-28 22:28:40 UTC,Wochit,Airtasker,77553,healthy
2017-09-12 12:35:17 UTC,Power Ledger,Poka Inc.,89896,healthy
2017-05-19 07:57:40 UTC,zulily,17zuoye,176515,suspicious
2017-10-09 09:58:36 UTC,Urban Ladder,Luminoso,117703,healthy
2017-04-13 08:18:12 UTC,Jana,Takeda Pharmaceutical,42496,healthy
2017-11-19 22:21:32 UTC,PagerDuty,Mayo Clinic,72307,healthy
2017-03-16 11:38:48 UTC,FanAI Inc.,Kakao,31736,healthy
2018-03-21 15:02:55 UTC,Bazaarvoice,Taulia,180515,suspicious
2017-10-08 07:21:38 UTC,Victorious,Evergage,28493,healthy
2017-05-09 23:34:23 UTC,CyberX,HealthCare.com,156482,suspicious
2017-08-01 22:20:20 UTC,Hyperloop Transportation Technologies,Sea Limited,40640,healthy
2017-06-24 20:41:23 UTC,Yogome,WuXi AppTec,92921,suspicious
2017-06-01 00:48:41 UTC,Showpad,Kuaishou,126176,healthy
2017-08-20 02:37:31 UTC,PagerDuty,Avvo,11314,suspicious
2018-01-08 12:25:57 UTC,Luminoso,Leap Motion,87783,suspicious
2017-05-14 11:49:31 UTC,Toutiao,zulily,176642,healthy
2017-04-01 20:19:32 UTC,PagerDuty,Concur Technologies,117444,healthy
2017-03-05 22:54:41 UTC,Luminoso,Jamf,77479,healthy
2018-02-03 16:58:14 UTC,Zum,Bitmain,117499,healthy
2018-03-06 15:51:41 UTC,IDEAYA Biosciences,Jiffy,176944,suspicious
2017-04-08 18:29:51 UTC,The Walt Disney Company,HQTrivia,131693,suspicious
2017-10-25 13:20:04 UTC,Prelude Fertility,Drive.ai,41343,healthy
2017-03-28 11:53:02 UTC,"Phunware, Inc.",Claire,110766,healthy
2017-03-05 09:55:40 UTC,Tesco,Qihoo 360 Technology,168181,suspicious
2017-09-01 02:43:59 UTC,Namely,Withings,131807,healthy
2017-08-13 22:39:56 UTC,Claire,HomeAway,132368,suspicious
2017-12-17 17:15:43 UTC,Gfycat,EVERFI,185805,suspicious
2017-08-07 18:12:27 UTC,HomeAway,Signal,139998,suspicious
2017-11-20 16:19:03 UTC,RedLock,Honest Buildings,87621,healthy
2017-10-01 02:13:39 UTC,Kiddom,Coinbase,1463,healthy
2017-04-20 15:32:58 UTC,Vectra Networks,Luminoso,145843,suspicious
2017-12-27 21:45:38 UTC,"Nauto, Inc.",17zuoye,47090,healthy
2017-04-14 06:57:08 UTC,17zuoye,Personal Capital,40169,suspicious
2018-01-07 22:14:58 UTC,JW Player,Deliveroo,192721,healthy
2017-03-13 08:23:31 UTC,Siri,Kobalt,170067,healthy
2017-02-25 07:55:18 UTC,Airtable,Juicero,147277,healthy
2017-07-22 20:53:31 UTC,AppNexus,Meituan-Dianping,174096,suspicious
2018-01-04 22:55:31 UTC,Concur Technologies,Kahoot!,168046,healthy
2017-02-07 12:11:29 UTC,Talkspace,Ancient Nutrition,11683,healthy
2017-11-19 02:36:05 UTC,Power Ledger,Quikr,149323,healthy
2018-02-11 00:42:20 UTC,Quizlet,Showpad,4389,suspicious
2017-11-21 09:59:20 UTC,Wellthy Therapeutics Pvt Ltd,TurnKey Vacation Rentals,13073,suspicious
2017-08-18 22:42:28 UTC,Juicero,Coinbase,24269,healthy
2018-02-10 05:19:33 UTC,Overstock.com,Virtualitics,152611,suspicious
2018-03-09 03:43:43 UTC,Signal Foundation,Puls,140880,healthy
2017-10-20 16:18:29 UTC,comScore,SentinelOne,115209,healthy
2017-05-20 20:24:35 UTC,Withings,Rocket Lab,128512,healthy
2017-08-06 23:51:46 UTC,Mezi,FanDuel,45768,suspicious
2017-12-05 15:06:08 UTC,Personal Capital,Kahoot!,157342,suspicious
2018-01-04 04:38:14 UTC,Youku,ShipHawk,157315,suspicious
2017-04-11 07:45:45 UTC,WalkMe,Knotel,186279,healthy
2017-12-27 04:52:31 UTC,Knotel,Intuit,156017,healthy
2017-07-01 21:11:04 UTC,Kiddom,Stitch Fix,105484,suspicious
2017-04-20 07:36:01 UTC,Kiddom,OneWeb,64349,healthy
2017-12-18 17:15:06 UTC,FanDuel,Acquia,188372,suspicious
2017-03-05 09:21:46 UTC,Via,Vivino,183766,suspicious
2017-09-22 08:58:56 UTC,Kakao,SaltStack,112340,suspicious
2018-03-09 10:12:47 UTC,Farfetch,Kakao,182795,healthy
2017-10-12 01:38:42 UTC,HQTrivia,Affirm,43190,healthy
2017-11-08 17:29:47 UTC,HQTrivia,Ucommune,191177,healthy
2018-02-01 08:59:20 UTC,Jiffy,Cognizant Technology Solutions,88164,suspicious
2017-04-05 12:47:46 UTC,Kobalt,Curatio Healthcare,164701,healthy
2017-02-20 15:10:48 UTC,Illumio,Yelp,23302,suspicious
2018-02-26 13:49:35 UTC,WuXi AppTec,3D Systems,151831,suspicious
2018-01-04 07:46:10 UTC,Mayo Clinic,FireEye,185339,healthy
2017-10-31 18:06:16 UTC,FirstEnergy Corp.,Zagster,57556,suspicious
2018-01-03 08:36:47 UTC,Drover,Rani Therapeutics,138166,suspicious
2017-03-22 00:12:09 UTC,Overstock.com,Claire,87919,healthy
2017-06-21 06:34:34 UTC,AppNexus,IFTTT,173283,suspicious
2017-09-16 16:41:43 UTC,Via,Quizlet,14829,suspicious
2017-06-24 19:18:26 UTC,Family Pet,Bitt,22901,healthy
2017-12-23 13:14:04 UTC,Split Software,Pinterest,187003,healthy
2017-03-17 10:25:44 UTC,Penny,Evergage,49220,healthy
2017-02-02 01:26:00 UTC,Storj Labs,LiveRamp,56421,healthy
2017-04-16 00:47:00 UTC,Distil Networks,RingCentral,132799,healthy
2017-07-28 07:00:25 UTC,Arctic Wolf Networks,SoundCloud,46662,suspicious
2018-01-22 10:41:45 UTC,Withings,CyberX,32040,suspicious
2017-12-20 12:49:06 UTC,Signal Foundation,Dwolla,41577,suspicious
2017-11-12 01:29:09 UTC,Yoox Net-a-Porter Group,Storj Labs,171775,healthy
2017-02-28 19:12:56 UTC,Vectra Networks,Stitch Fix,13140,healthy
2017-04-30 09:59:14 UTC,Pepperfry.com,RedLock,18603,suspicious
2017-11-22 00:01:24 UTC,Zum,Voicera,182133,suspicious
2017-09-23 05:32:02 UTC,Pepperfry.com,Mayo Clinic,95839,suspicious
2017-10-13 22:45:13 UTC,Talkspace,Octiv,124985,healthy
2017-05-05 16:38:32 UTC,IHS Markit ,Apptio,117815,suspicious
2017-11-28 02:48:16 UTC,Pantheon,Coinbase,22422,suspicious
2017-02-01 03:54:50 UTC,The Walt Disney Company,Youku,159950,healthy
2017-12-15 05:55:30 UTC,Health Catalyst,Dialpad,143474,suspicious
2017-12-27 00:07:24 UTC,Rivigo,Avast,125071,healthy
2017-09-12 12:19:02 UTC,Ucommune,Jive Communications,118352,healthy
2017-06-29 19:05:05 UTC,Stitch Fix,Poka Inc.,136042,suspicious
2017-03-29 08:23:41 UTC,Shopify,ENGAGE,66186,suspicious
2018-02-18 14:43:13 UTC,Chef,Takeda Pharmaceutical,43230,healthy
2017-08-14 23:59:26 UTC,Cloudflare,Zum,70466,suspicious
2018-02-04 15:44:55 UTC,ShipHawk,RedLock,20605,suspicious
2017-05-05 17:36:16 UTC,Virtualitics,"Nauto, Inc.",176335,healthy
2018-02-08 14:42:53 UTC,Bitmain,RingCentral,108813,suspicious
2017-04-28 15:31:31 UTC,Storj Labs,SugarCRM,145740,healthy
2017-12-22 06:32:38 UTC,Drive.ai,Family Pet,119900,healthy
2017-05-21 06:26:07 UTC,EVERFI,Jiffy,109410,healthy
2017-11-23 02:37:38 UTC,Humacyte,Shipt,40334,suspicious
2017-02-16 06:50:24 UTC,SentinelOne,Qihoo 360 Technology,11847,suspicious
2018-02-08 18:35:51 UTC,Bluecore,Quikr,90750,suspicious
2017-11-21 23:14:32 UTC,HealthCare.com,Zum,28128,suspicious
2017-05-06 04:11:13 UTC,Vivino,Fair,162310,suspicious
2017-04-09 14:36:09 UTC,Senic,Acquia,38904,healthy
2018-02-22 13:00:03 UTC,Magic,Dwolla,106688,suspicious
2017-11-22 12:48:29 UTC,JW Player,Dwolla,88502,suspicious
2017-03-14 08:53:21 UTC,OneWeb,Withings,165272,suspicious
2018-03-02 12:56:05 UTC,Illumio,Bitmain,5399,suspicious
2018-03-11 14:44:08 UTC,Vettery,Bazaarvoice,12392,suspicious
2017-11-24 02:19:05 UTC,AppNexus,SugarCRM,58084,healthy
2018-03-07 02:10:59 UTC,Signal Foundation,China Unicom,190411,suspicious
2018-03-22 19:01:27 UTC,Intuit,Pantheon,30622,suspicious
2017-07-21 09:31:07 UTC,Cognizant Technology Solutions,Atom Bank,1327,suspicious
2018-02-22 18:40:59 UTC,Senic,Shopify,52619,healthy
2018-02-15 04:35:49 UTC,Pantheon,Takeda Pharmaceutical,90063,healthy
2018-01-22 06:59:12 UTC,FanAI Inc.,Magic,103775,suspicious
2017-05-22 19:44:44 UTC,Meituan-Dianping,AWAL,132976,healthy
2018-02-21 21:17:53 UTC,Payfone,Kiddom,165091,suspicious
2017-12-16 20:34:31 UTC,HomeAway,Health Catalyst,153148,suspicious
